number,report,family,profile,brand,languages,templateKey,httpStatus,pdf,issueCount,mappingIssues,issues,blank
23,MIKRH_ETIKETA_ZLATHS_GR,thermal,small,ZLATHS,el,thermal-small,200,samples/MIKRH_ETIKETA_ZLATHS_GR.pdf,10,"Brand ZLATHS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Συμπληρώστε το ειδικό πεδίο ετικέτας: σχόλιο επωνυμίας / el | Συμπληρώστε το ειδικό πεδίο ετικέτας: ημερομηνία συσκευασίας,False
24,ETIKETES_PELATES,address,small,FAETHON,el,address-small,200,samples/ETIKETES_PELATES.pdf,2,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Επιλέξτε πελάτη.,False
25,MIKRH_ETIKETA_PAPADOPOULOS_HU,thermal,small,PAPADOPOULOS,hu,thermal-small,200,samples/MIKRH_ETIKETA_PAPADOPOULOS_HU.pdf,8,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας hu. | Λείπει προέλευση hu. | Λείπουν οδηγίες χρήσης hu. | Λείπει μετάφραση συσκευασίας hu. | Λείπει μετάφραση κατηγορίας hu.,False
26,MIKRH_ETIKETA_SUFRO_GR,thermal,small,SUFRO,el,thermal-small,200,samples/MIKRH_ETIKETA_SUFRO_GR.pdf,8,"Brand SUFRO is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el.,False
27,TABELAKIA_EIDON_KREOPOLEIOY_KENO,butcher,small,FAETHON,el,butcher-a4,200,samples/TABELAKIA_EIDON_KREOPOLEIOY_KENO.pdf,1,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
28,ETIKETA_PALETA_A4_PASSIAS_GR_EN,pallet,a4,PASSIAS,el | en,pallet-a4,200,samples/ETIKETA_PALETA_A4_PASSIAS_GR_EN.pdf,13,"Brand PASSIAS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
29,LISTA_SYNTOMOGRAFIES,reference-list,a4,FAETHON,el,list-abbreviations,200,samples/LISTA_SYNTOMOGRAFIES.pdf,1,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή.,False
30,MIKRH_ETIKETA_PAPADOPOULOS_GR,thermal,small,PAPADOPOULOS,el,thermal-small,200,samples/MIKRH_ETIKETA_PAPADOPOULOS_GR.pdf,8,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el.,False
31,MIKRH_ETIKETA_PAPADOPOULOS_CR,thermal,small,PAPADOPOULOS,hr,thermal-small,200,samples/MIKRH_ETIKETA_PAPADOPOULOS_CR.pdf,8,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας hr. | Λείπει προέλευση hr. | Λείπουν οδηγίες χρήσης hr. | Λείπει μετάφραση συσκευασίας hr. | Λείπει μετάφραση κατηγορίας hr.,False
32,MIKRH_ETIKETA_SUFRO_RO,thermal,small,SUFRO,ro,thermal-small,200,samples/MIKRH_ETIKETA_SUFRO_RO.pdf,8,"Brand SUFRO is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας ro. | Λείπει προέλευση ro. | Λείπουν οδηγίες χρήσης ro. | Λείπει μετάφραση συσκευασίας ro. | Λείπει μετάφραση κατηγορίας ro.,False
33,MIKRH_ETIKETA_MAVROUDIS_GR,thermal,small,MAVROUDIS,el,thermal-small,200,samples/MIKRH_ETIKETA_MAVROUDIS_GR.pdf,8,"Brand MAVROUDIS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el.,False
34,MEGALH_ETIKETA_SUFRO_RO_EN_KIBOTIO,thermal,large,SUFRO,ro | en,thermal-large,200,samples/MEGALH_ETIKETA_SUFRO_RO_EN_KIBOTIO.pdf,13,"Brand SUFRO is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας ro. | Λείπει προέλευση ro. | Λείπουν οδηγίες χρήσης ro. | Λείπει μετάφραση συσκευασίας ro. | Λείπει μετάφραση κατηγορίας ro. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
35,MEGALH_ETIKETA_SUFRO_GR_EN_KIBOTIO,thermal,large,SUFRO,el | en,thermal-large,200,samples/MEGALH_ETIKETA_SUFRO_GR_EN_KIBOTIO.pdf,13,"Brand SUFRO is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
36,MEGALH_ETIKETA_PAPADOPOULOS_GR_EN_KIBOTIO,thermal,large,PAPADOPOULOS,el | en,thermal-large,200,samples/MEGALH_ETIKETA_PAPADOPOULOS_GR_EN_KIBOTIO.pdf,13,"Brand PAPADOPOULOS is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
37,MEGALH_ETIKETA_METEORA_RO_EN_KIBOTIO,thermal,large,METEORA,ro | en,thermal-large,200,samples/MEGALH_ETIKETA_METEORA_RO_EN_KIBOTIO.pdf,13,"Brand METEORA is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας ro. | Λείπει προέλευση ro. | Λείπουν οδηγίες χρήσης ro. | Λείπει μετάφραση συσκευασίας ro. | Λείπει μετάφραση κατηγορίας ro. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
38,MEGALH_ETIKETA_METEORA_GR_EN_KIBOTIO,thermal,large,METEORA,el | en,thermal-large,200,samples/MEGALH_ETIKETA_METEORA_GR_EN_KIBOTIO.pdf,13,"Brand METEORA is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
