number,report,family,profile,brand,languages,templateKey,httpStatus,pdf,issueCount,mappingIssues,issues,blank
77,MEGALH_ETIKETA_SUFRO_RO_EN,thermal,large,SUFRO,ro | en,thermal-large,200,samples/MEGALH_ETIKETA_SUFRO_RO_EN.pdf,41,"Brand SUFRO is not configured; requested unresolved brand, no substitution.",Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Η μεγάλη ετικέτα απαιτεί ελληνικά και αγγλικά. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες ro. | Η επωνυμία δεν έχει συνδεθεί με το προϊόν. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας ro. | Λείπει προέλευση ro. | Λείπουν οδηγίες χρήσης ro. | Λείπει μετάφραση συσκευασίας ro. | Λείπει μετάφραση κατηγορίας ro. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en. | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:8 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:10 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:18 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:20 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:22 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:24 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:25 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:26 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:29 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:32 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:35 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:38 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:41 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:44 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:47 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:52 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:56 | Απαιτείται αντιστοίχιση πεδίου προτύπου: NOPO_KTPS.KATASTASH | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:61 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:63 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:65 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:66 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:69 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:71 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:73 | Λείπει μετάφραση επικεφαλίδας ro: thermal-large:74,False
78,MIKRH_ETIKETA_FAETHON_GR,thermal,small,FAETHON,el,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_GR.pdf,7,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας el. | Λείπει προέλευση el. | Λείπουν οδηγίες χρήσης el. | Λείπει μετάφραση συσκευασίας el. | Λείπει μετάφραση κατηγορίας el.,False
79,MIKRH_ETIKETA_FAETHON_AL,thermal,small,FAETHON,sq,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_AL.pdf,10,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες sq. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας sq. | Λείπει προέλευση sq. | Λείπουν οδηγίες χρήσης sq. | Λείπει μετάφραση συσκευασίας sq. | Λείπει μετάφραση κατηγορίας sq. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
80,MIKRH_ETIKETA_FAETHON_BG,thermal,small,FAETHON,bg,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_BG.pdf,12,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες bg. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας bg. | Λείπει προέλευση bg. | Λείπουν οδηγίες χρήσης bg. | Λείπει μετάφραση συσκευασίας bg. | Λείπει μετάφραση κατηγορίας bg. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα15. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα16. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
81,MIKRH_ETIKETA_FAETHON_CH,thermal,small,FAETHON,cs,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_CH.pdf,9,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες cs. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας cs. | Λείπει προέλευση cs. | Λείπουν οδηγίες χρήσης cs. | Λείπει μετάφραση συσκευασίας cs. | Λείπει μετάφραση κατηγορίας cs. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
82,MIKRH_ETIKETA_FAETHON_EN,thermal,small,FAETHON,en,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_EN.pdf,7,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας en. | Λείπει προέλευση en. | Λείπουν οδηγίες χρήσης en. | Λείπει μετάφραση συσκευασίας en. | Λείπει μετάφραση κατηγορίας en.,False
83,MIKRH_ETIKETA_FAETHON_ES,thermal,small,FAETHON,es,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_ES.pdf,11,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες es. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας es. | Λείπει προέλευση es. | Λείπουν οδηγίες χρήσης es. | Λείπει μετάφραση συσκευασίας es. | Λείπει μετάφραση κατηγορίας es. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα15. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα16.,False
84,MIKRH_ETIKETA_FAETHON_FR,thermal,small,FAETHON,fr,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_FR.pdf,8,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες fr. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας fr. | Λείπει προέλευση fr. | Λείπουν οδηγίες χρήσης fr. | Λείπει μετάφραση συσκευασίας fr. | Λείπει μετάφραση κατηγορίας fr.,False
85,MIKRH_ETIKETA_FAETHON_GE,thermal,small,FAETHON,de,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_GE.pdf,8,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες de. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας de. | Λείπει προέλευση de. | Λείπουν οδηγίες χρήσης de. | Λείπει μετάφραση συσκευασίας de. | Λείπει μετάφραση κατηγορίας de.,False
86,MIKRH_ETIKETA_FAETHON_HU,thermal,small,FAETHON,hu,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_HU.pdf,10,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες hu. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας hu. | Λείπει προέλευση hu. | Λείπουν οδηγίες χρήσης hu. | Λείπει μετάφραση συσκευασίας hu. | Λείπει μετάφραση κατηγορίας hu. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα16. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
87,MIKRH_ETIKETA_FAETHON_IT,thermal,small,FAETHON,it,thermal-small,200,samples/MIKRH_ETIKETA_FAETHON_IT.pdf,11,,Το πρότυπο δεν έχει επικυρωθεί σε εκτυπωτή. | Δεν έχουν συμπληρωθεί οι επικεφαλίδες it. | Συμπληρώστε τα στοιχεία επωνυμίας. | Λείπουν στοιχεία επωνυμίας it. | Λείπει προέλευση it. | Λείπουν οδηγίες χρήσης it. | Λείπει μετάφραση συσκευασίας it. | Λείπει μετάφραση κατηγορίας it. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα13. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα16. | Υπερχείλιση κειμένου στο πεδίο Ετικέτα17.,False
